------------------------------------------------------------
 Model:        tpxo9.v1
 Constituents included: m2  s2  n2  k2  k1  o1  p1  q1  mm  mf  m4  mn4 ms4 2n2 
 s1  
 
     Lat       Lon        mm.dd.yyyy hh:mm:ss     z(m)   Depth(m)
    36.1889  -75.9000     10.12.1994 17:43:20     0.523    10.076
    36.1889  -75.9000     10.12.1994 17:43:30     0.524    10.076
    36.1889  -75.9000     10.12.1994 17:43:40     0.524    10.076
    36.1889  -75.9000     10.12.1994 17:43:50     0.524    10.076
    36.1889  -75.9000     10.12.1994 17:44:00     0.524    10.076
    36.1889  -75.9000     10.12.1994 17:44:10     0.525    10.076
    36.1889  -75.9000     10.12.1994 17:44:20     0.525    10.076
    36.1889  -75.9000     10.12.1994 17:44:30     0.525    10.076
    36.1889  -75.9000     10.12.1994 17:44:40     0.526    10.076
    36.1889  -75.9000     10.12.1994 17:44:50     0.526    10.076
    36.1889  -75.9000     10.12.1994 17:45:00     0.526    10.076
    36.1889  -75.9000     10.12.1994 17:45:10     0.526    10.076
    36.1889  -75.9000     10.12.1994 17:45:20     0.527    10.076
    36.1889  -75.9000     10.12.1994 17:45:30     0.527    10.076
    36.1889  -75.9000     10.12.1994 17:45:40     0.527    10.076
    36.1889  -75.9000     10.12.1994 17:45:50     0.528    10.076
    36.1889  -75.9000     10.12.1994 17:46:00     0.528    10.076
    36.1889  -75.9000     10.12.1994 17:46:10     0.528    10.076
    36.1889  -75.9000     10.12.1994 17:46:20     0.528    10.076
    36.1889  -75.9000     10.12.1994 17:46:30     0.529    10.076
    36.1889  -75.9000     10.12.1994 17:46:40     0.529    10.076
    36.1889  -75.9000     10.12.1994 17:46:50     0.529    10.076
    36.1889  -75.9000     10.12.1994 17:47:00     0.530    10.076
    36.1889  -75.9000     10.12.1994 17:47:10     0.530    10.076
    36.1889  -75.9000     10.12.1994 17:47:20     0.530    10.076
    36.1889  -75.9000     10.12.1994 17:47:30     0.530    10.076
    36.1889  -75.9000     10.12.1994 17:47:40     0.531    10.076
    36.1889  -75.9000     10.12.1994 17:47:50     0.531    10.076
    36.1889  -75.9000     10.12.1994 17:48:00     0.531    10.076
    36.1889  -75.9000     10.12.1994 17:48:10     0.531    10.076
    36.1889  -75.9000     10.12.1994 17:48:20     0.532    10.076
    36.1889  -75.9000     10.12.1994 17:48:30     0.532    10.076
    36.1889  -75.9000     10.12.1994 17:48:40     0.532    10.076
    36.1889  -75.9000     10.12.1994 17:48:50     0.532    10.076
    36.1889  -75.9000     10.12.1994 17:49:00     0.533    10.076
    36.1889  -75.9000     10.12.1994 17:49:10     0.533    10.076
    36.1889  -75.9000     10.12.1994 17:49:20     0.533    10.076
    36.1889  -75.9000     10.12.1994 17:49:30     0.533    10.076
    36.1889  -75.9000     10.12.1994 17:49:40     0.534    10.076
    36.1889  -75.9000     10.12.1994 17:49:50     0.534    10.076
    36.1889  -75.9000     10.12.1994 17:50:00     0.534    10.076
    36.1889  -75.9000     10.12.1994 17:50:10     0.534    10.076
    36.1889  -75.9000     10.12.1994 17:50:20     0.535    10.076
    36.1889  -75.9000     10.12.1994 17:50:30     0.535    10.076
    36.1889  -75.9000     10.12.1994 17:50:40     0.535    10.076
    36.1889  -75.9000     10.12.1994 17:50:50     0.535    10.076
    36.1889  -75.9000     10.12.1994 17:51:00     0.536    10.076
    36.1889  -75.9000     10.12.1994 17:51:10     0.536    10.076
    36.1889  -75.9000     10.12.1994 17:51:20     0.536    10.076
    36.1889  -75.9000     10.12.1994 17:51:30     0.536    10.076
    36.1889  -75.9000     10.12.1994 17:51:40     0.537    10.076
    36.1889  -75.9000     10.12.1994 17:51:50     0.537    10.076
    36.1889  -75.9000     10.12.1994 17:52:00     0.537    10.076
    36.1889  -75.9000     10.12.1994 17:52:10     0.537    10.076
    36.1889  -75.9000     10.12.1994 17:52:20     0.538    10.076
    36.1889  -75.9000     10.12.1994 17:52:30     0.538    10.076
    36.1889  -75.9000     10.12.1994 17:52:40     0.538    10.076
    36.1889  -75.9000     10.12.1994 17:52:50     0.538    10.076
    36.1889  -75.9000     10.12.1994 17:53:00     0.539    10.076
    36.1889  -75.9000     10.12.1994 17:53:10     0.539    10.076
    36.1889  -75.9000     10.12.1994 17:53:20     0.539    10.076
    36.1889  -75.9000     10.12.1994 17:53:30     0.539    10.076
    36.1889  -75.9000     10.12.1994 17:53:40     0.540    10.076
    36.1889  -75.9000     10.12.1994 17:53:50     0.540    10.076
    36.1889  -75.9000     10.12.1994 17:54:00     0.540    10.076
    36.1889  -75.9000     10.12.1994 17:54:10     0.540    10.076
    36.1889  -75.9000     10.12.1994 17:54:20     0.540    10.076
    36.1889  -75.9000     10.12.1994 17:54:30     0.541    10.076
    36.1889  -75.9000     10.12.1994 17:54:40     0.541    10.076
    36.1889  -75.9000     10.12.1994 17:54:50     0.541    10.076
    36.1889  -75.9000     10.12.1994 17:55:00     0.541    10.076
    36.1889  -75.9000     10.12.1994 17:55:10     0.542    10.076
    36.1889  -75.9000     10.12.1994 17:55:20     0.542    10.076
    36.1889  -75.9000     10.12.1994 17:55:30     0.542    10.076
    36.1889  -75.9000     10.12.1994 17:55:40     0.542    10.076
    36.1889  -75.9000     10.12.1994 17:55:50     0.542    10.076
    36.1889  -75.9000     10.12.1994 17:56:00     0.543    10.076
    36.1889  -75.9000     10.12.1994 17:56:10     0.543    10.076
    36.1889  -75.9000     10.12.1994 17:56:20     0.543    10.076
    36.1889  -75.9000     10.12.1994 17:56:30     0.543    10.076
    36.1889  -75.9000     10.12.1994 17:56:40     0.544    10.076
    36.1889  -75.9000     10.12.1994 17:56:50     0.544    10.076
    36.1889  -75.9000     10.12.1994 17:57:00     0.544    10.076
    36.1889  -75.9000     10.12.1994 17:57:10     0.544    10.076
    36.1889  -75.9000     10.12.1994 17:57:20     0.544    10.076
    36.1889  -75.9000     10.12.1994 17:57:30     0.545    10.076
    36.1889  -75.9000     10.12.1994 17:57:40     0.545    10.076
    36.1889  -75.9000     10.12.1994 17:57:50     0.545    10.076
    36.1889  -75.9000     10.12.1994 17:58:00     0.545    10.076
    36.1889  -75.9000     10.12.1994 17:58:10     0.545    10.076
    36.1889  -75.9000     10.12.1994 17:58:20     0.546    10.076
    36.1889  -75.9000     10.12.1994 17:58:30     0.546    10.076
    36.1889  -75.9000     10.12.1994 17:58:40     0.546    10.076
    36.1889  -75.9000     10.12.1994 17:58:50     0.546    10.076
    36.1889  -75.9000     10.12.1994 17:59:00     0.547    10.076
    36.1889  -75.9000     10.12.1994 17:59:10     0.547    10.076
    36.1889  -75.9000     10.12.1994 17:59:20     0.547    10.076
    36.1889  -75.9000     10.12.1994 17:59:30     0.547    10.076
    36.1889  -75.9000     10.12.1994 17:59:40     0.547    10.076
    36.1889  -75.9000     10.12.1994 17:59:50     0.547    10.076
    36.1889  -75.9000     10.12.1994 18:00:00     0.548    10.076
    36.1889  -75.9000     10.12.1994 18:00:10     0.548    10.076
    36.1889  -75.9000     10.12.1994 18:00:20     0.548    10.076
    36.1889  -75.9000     10.12.1994 18:00:30     0.548    10.076
    36.1889  -75.9000     10.12.1994 18:00:40     0.548    10.076
    36.1889  -75.9000     10.12.1994 18:00:50     0.549    10.076
    36.1889  -75.9000     10.12.1994 18:01:00     0.549    10.076
    36.1889  -75.9000     10.12.1994 18:01:10     0.549    10.076
    36.1889  -75.9000     10.12.1994 18:01:20     0.549    10.076
    36.1889  -75.9000     10.12.1994 18:01:30     0.549    10.076
    36.1889  -75.9000     10.12.1994 18:01:40     0.550    10.076
    36.1889  -75.9000     10.12.1994 18:01:50     0.550    10.076
    36.1889  -75.9000     10.12.1994 18:02:00     0.550    10.076
    36.1889  -75.9000     10.12.1994 18:02:10     0.550    10.076
    36.1889  -75.9000     10.12.1994 18:02:20     0.550    10.076
    36.1889  -75.9000     10.12.1994 18:02:30     0.551    10.076
    36.1889  -75.9000     10.12.1994 18:02:40     0.551    10.076
    36.1889  -75.9000     10.12.1994 18:02:50     0.551    10.076
